# Shot Accuracy Error
1.000000 24.449740 0.110591
2.000000 34.562825 0.098964
3.000000 41.350087 0.097470
4.000000 45.679809 0.093590
5.000000 49.097920 0.099989
6.000000 51.541594 0.098007
7.000000 53.464471 0.092260
8.000000 55.020797 0.079532
9.000000 56.304159 0.086539
10.000000 57.340988 0.083489
