# Shot Accuracy Error
1.000000 25.546360 0.103125
2.000000 36.279463 0.093523
3.000000 43.204939 0.101751
4.000000 47.767764 0.100789
5.000000 51.149047 0.101637
6.000000 53.697574 0.094108
7.000000 55.735702 0.092205
8.000000 57.266898 0.088401
9.000000 58.525130 0.085607
10.000000 59.607886 0.078578
