# Shot Accuracy Error
1.000000 34.475737 0.129319
2.000000 47.941508 0.135041
3.000000 55.630849 0.120791
4.000000 60.119584 0.105095
5.000000 63.176343 0.097903
6.000000 65.316291 0.090087
7.000000 67.094887 0.086021
8.000000 68.447574 0.083180
9.000000 69.563692 0.077660
10.000000 70.377383 0.073615
