0 1 2 3
0 1 29.462738301559792 26.375823800543426
0 2 40.68457538994801 38.60028866373669
0 3 46.75043327556326 45.00555493250896
0 4 50.12998266897747 48.22955442672897
0 5 53.509532062391685 52.08812142777211
0 6 55.63258232235702 54.194873240974
0 7 57.27902946273831 56.122611223933724
0 8 59.18544194107452 58.02014063037543
0 9 59.92201039861352 58.72241362938877
0 10 60.70190641247834 59.58997484773657
1 1 29.462738301559792 25.657266170367173
1 2 39.68804159445407 38.01123726552427
1 3 47.443674176776426 45.95608551753445
1 4 50.5632582322357 48.897861320402995
1 5 52.946273830155974 51.25106394451805
1 6 55.892547660311955 54.6177491925992
1 7 57.27902946273831 55.80230896641437
1 8 58.14558058925476 56.603652321350516
1 9 59.7053726169844 58.20999038995801
1 10 60.35528596187175 59.15296528835123
2 1 29.462738301559792 26.375391486953927
2 2 42.201039861351816 39.856534325552246
2 3 48.1369150779896 46.27604605638187
2 4 51.81975736568457 49.97754168436266
2 5 53.98613518197573 52.63703090552539
2 6 57.49566724436742 56.49046741213593
2 7 59.18544194107452 58.42302874620779
2 8 59.48873483535528 58.62682988241663
2 9 60.961871750433275 59.76583947311256
2 10 61.65511265164645 60.29754536859168
3 1 29.07279029462738 26.336234999821095
3 2 39.21143847487002 36.470606809740815
3 3 47.053726169844026 45.20635839684037
3 4 52.9896013864818 51.378696765258155
3 5 55.24263431542461 53.99627672981702
3 6 56.672443674176776 55.470149791638825
3 7 57.97227036395147 57.002660038179755
3 8 58.96880415944541 58.208327237297254
3 9 60.61525129982669 60.12264547312884
3 10 61.78509532062392 61.23870671925658
4 1 30.24263431542461 26.553044702573946
4 2 39.77469670710572 37.914669959822845
4 3 44.367417677642976 42.94987366773411
4 4 49.350086655112655 48.20573264320248
4 5 52.512998266897746 51.405174453345026
4 6 54.46273830155979 53.272343884769
4 7 57.019064124783355 56.01699769423977
4 8 58.44887348353552 57.11796972599779
4 9 59.74870017331022 58.86779849005151
4 10 60.70190641247834 59.87582672188023
5 1 30.285961871750434 26.94223666451787
5 2 42.67764298093588 40.41042309205186
5 3 48.74350086655112 46.72050492158906
5 4 52.33968804159446 51.14670862277437
5 5 54.37608318890814 52.99665070886539
5 6 56.499133448873486 54.896810783370285
5 7 57.712305025996535 56.230459459063056
5 8 59.1421143847487 57.55053574467141
