# Shot Accuracy Error
1.000000 10.621755 0.113604
2.000000 15.457539 0.082282
3.000000 18.983536 0.081569
4.000000 21.382582 0.090873
5.000000 23.170711 0.093177
6.000000 24.710572 0.093091
7.000000 25.920711 0.088125
8.000000 26.940208 0.089151
9.000000 27.895581 0.087191
10.000000 28.678510 0.085903
