# Shot Accuracy Error
1.000000 29.400604 0.291846
2.000000 40.127816 0.131572
3.000000 46.642548 0.136224
4.000000 50.788562 0.126863
5.000000 53.736568 0.117079
6.000000 55.985702 0.106453
7.000000 57.862218 0.103384
8.000000 59.306326 0.098658
9.000000 60.623050 0.096708
10.000000 61.582756 0.086201
