# Shot Accuracy Error
1.000000 22.065377 0.220793
2.000000 31.772097 0.116235
3.000000 38.071057 0.117021
4.000000 42.292028 0.119332
5.000000 45.531629 0.112894
6.000000 48.095754 0.097571
7.000000 49.868718 0.095461
8.000000 51.426776 0.092804
9.000000 52.709272 0.079507
10.000000 53.779896 0.075864
