0 1 2 3
0 1 24.74003466204506 24.022884494595427
0 2 33.925476603119584 32.97270344314055
0 3 40.81455805892548 40.848468202881186
0 4 46.18717504332756 45.755348340235535
0 5 49.523396880415945 48.7989723059321
0 6 52.33968804159446 51.73124949767005
0 7 54.20277296360485 53.89722993105488
0 8 54.8526863084922 54.660988329128735
0 9 56.23916811091855 56.25772779498044
0 10 57.755632582322356 57.860451988131025
1 1 23.960138648180244 22.555540204067963
1 2 35.52859618717504 35.243034884861586
1 3 42.201039861351816 41.963172117130256
1 4 45.45060658578856 45.494108012596385
1 5 49.00346620450606 49.26885555768826
1 6 52.296360485268636 52.94323479124131
1 7 54.722703639514734 55.03645934157346
1 8 55.97920277296361 56.144037258207405
1 9 57.4523396880416 57.70663137161709
1 10 58.578856152513005 58.751479052134115
2 1 23.310225303292896 21.931039942107507
2 2 35.13864818024263 34.54235916139008
2 3 42.201039861351816 42.03567096377563
2 4 46.70710571923743 46.60945739318701
2 5 49.95667244367418 49.61165002248086
2 6 51.863084922010394 51.83390881531565
2 7 53.466204506065864 53.4493192962071
2 8 55.19930675909879 54.95816340208722
2 9 55.37261698440208 55.17111591174949
2 10 57.019064124783355 56.96204131260364
3 1 24.913344887348355 23.945698509501348
3 2 34.705372616984405 33.76004039811742
3 3 41.984402079722706 41.27473013946315
3 4 46.143847487001736 45.898727087651785
3 5 48.91681109185442 48.9774101992021
3 6 52.599653379549395 52.85894403157015
3 7 53.639514731369154 53.900255148690746
3 8 54.80935875216638 54.92405592755411
3 9 55.67590987868284 55.66795829345648
3 10 56.58578856152513 56.68106938696985
4 1 24.653379549393414 22.983267480958126
4 2 34.01213171577123 32.76792128499284
4 3 40.294627383015595 39.730772592661694
4 4 44.93067590987868 44.525012695335214
4 5 49.09012131715772 48.80765580701879
4 6 50.99653379549394 51.15441757624757
4 7 53.682842287694974 53.85586554794678
4 8 55.762564991334486 56.15194943422445
4 9 55.97920277296361 55.90137775693647
4 10 57.23570190641247 57.556155679027356
5 1 23.786828422876948 22.18550488955106
5 2 34.748700173310226 33.96433910309241
5 3 41.59445407279029 40.99016873195805
5 4 45.10398613518198 44.82192723192736
5 5 48.570190641247834 48.19644022694932
5 6 49.436741767764296 49.55157301755949
5 7 52.686308492201036 52.55053897302482
5 8 54.46273830155979 54.43965479913388
5 9 55.589254766031196 55.714153870448044
5 10 57.668977469670715 57.650808812156605
6 1 24.220103986135182 22.378467858699597
6 2 34.40207972270364 33.6203170152167
6 3 42.50433275563258 41.40171407455429
6 4 46.23050259965338 45.35709022342468
6 5 50.0 49.7786455034079
6 6 51.94974003466204 52.18329355995679
6 7 54.07279029462738 54.34351945808608
6 8 55.54592720970537 55.9838696416462
6 9 56.1525129982669 56.56258395465416
6 10 56.499133448873486 56.742509162307755
7 1 26.213171577123052 25.060655082651635
7 2 35.52859618717504 34.34204134023215
7 3 43.45753899480069 43.24720013250106
7 4 46.8370883882149 46.56712358355728
7 5 50.38994800693241 49.79706820187521
7 6 52.38301559792028 51.921756975167035
7 7 53.552859618717505 53.44998280796276
7 8 55.4159445407279 55.52962771005707
7 9 56.975736568457535 57.25029787185776
7 10 57.97227036395147 58.11744698416433
8 1 23.786828422876948 21.412684457768005
8 2 34.835355285961874 33.9981444351464
8 3 40.77123050259965 39.78680002807101
8 4 46.62045060658579 45.7621727487971
8 5 50.34662045060658 49.88925426642202
8 6 52.556325823223574 52.160741810125224
8 7 55.32928942807626 55.00146555741141
8 8 56.88908145580589 56.644480604991024
8 9 59.01213171577123 58.89801709199681
8 10 58.96880415944541 59.011078174478826
9 1 24.783362218370883 23.474540588365333
9 2 35.09532062391681 34.02946023114289
9 3 43.2842287694974 42.776774513516344
9 4 47.66031195840554 47.51796629166407
9 5 52.0363951473137 52.35408729501143
9 6 53.466204506065864 53.603900947677616
9 7 53.682842287694974 53.833043435737885
9 8 55.762564991334486 55.772616201180234
9 9 57.4523396880416 57.63514456652054
9 10 57.97227036395147 58.22161476069155
10 1 26.126516464471404 24.260520323362048
10 2 34.922010398613516 33.399569198790914
10 3 41.63778162911612 40.81905022533982
10 4 45.45060658578856 44.79723936457157
10 5 48.1369150779896 47.44175160167456
10 6 50.04332755632582 49.86937505392601
10 7 53.682842287694974 53.58083116083912
10 8 55.06932409012132 55.164436067306
10 9 56.672443674176776 56.59453953005165
10 10 58.27556325823223 58.61950669147941
11 1 25.909878682842287 24.43640267551882
11 2 35.008665511265164 34.400672403570645
11 3 40.94454072790295 40.46420635311014
11 4 45.10398613518198 45.04918193665968
11 5 48.396880415944544 48.11261684142158
11 6 51.603119584055456 51.35052119601148
11 7 53.07625649913344 52.83834434967854
11 8 55.15597920277296 55.0203631244006
11 9 57.06239168110918 57.092173677246436
11 10 57.92894280762565 57.68542374977492
12 1 25.606585788561524 24.378335767575592
12 2 36.43847487001733 35.616671627587564
12 3 41.89774696707106 41.185381277678204
12 4 45.233968804159446 44.938459398114766
12 5 48.353552859618716 48.242200582692284
12 6 50.38994800693241 50.29972491377037
12 7 52.469670710571926 52.39028408719072
12 8 54.59272097053726 54.450551075412235
12 9 55.67590987868284 55.73433455860298
12 10 57.842287694974004 57.74700438483569
13 1 25.51993067590988 23.813448199421938
13 2 32.49566724436742 31.100192204649733
13 3 39.42807625649913 39.02138995294442
13 4 44.84402079722704 45.25740903599606
13 5 47.66031195840554 47.89286507195526
13 6 51.51646447140381 51.80214325863947
13 7 52.772963604852684 52.889905157281305
13 8 54.93934142114385 55.14824317744909
13 9 56.499133448873486 56.8483947638648
13 10 57.49566724436742 57.69184839950153
14 1 26.343154246100518 24.84292608534378
14 2 34.18544194107452 33.487504609864615
14 3 40.94454072790295 40.83541042687682
14 4 45.45060658578856 45.20924623599631
14 5 48.65684575389948 48.28061203926722
14 6 50.649913344887345 50.40991222963845
14 7 52.686308492201036 52.92038218793764
14 8 54.89601386481803 55.016081956067275
14 9 56.10918544194108 56.186196192599894
14 10 56.41247833622184 56.87588497850695
15 1 24.003466204506065 23.100098212576718
15 2 35.74523396880416 34.228047858696385
15 3 41.63778162911612 40.70734043937681
15 4 47.053726169844026 46.85782920855158
15 5 50.25996533795494 49.82876937694148
15 6 51.603119584055456 51.26114059716432
15 7 52.556325823223574 52.45540403572249
15 8 56.06585788561526 55.97899151454073
15 9 57.019064124783355 57.089764876223015
15 10 57.92894280762565 58.17789373480453
16 1 24.176776429809358 22.947196289545985
16 2 33.53552859618718 33.09894865615797
16 3 40.8578856152513 40.46311400908657
16 4 44.97400346620451 44.66641436117315
16 5 49.91334488734835 49.69224433441428
16 6 52.556325823223574 52.80409420449384
16 7 53.379549393414216 53.58284642877638
16 8 54.41941074523397 54.444822316914475
16 9 56.759098786828424 56.79394747364559
16 10 56.759098786828424 56.71491318587489
17 1 23.353552859618716 21.57188831298565
17 2 35.22530329289428 33.93063292730419
17 3 39.60138648180242 38.418528852843565
17 4 45.62391681109185 44.887218000898244
17 5 49.26343154246101 48.66535702442681
17 6 51.94974003466204 51.88561686131301
17 7 54.59272097053726 54.5081044585761
17 8 56.32582322357019 56.19559656800186
17 9 57.19237435008665 57.2196990446465
17 10 57.842287694974004 57.71393989348327
18 1 23.26689774696707 21.559707150779538
18 2 34.53206239168111 33.05859132262833
18 3 41.72443674176776 41.07659061147073
18 4 45.7105719237435 45.08352564397112
18 5 49.30675909878683 49.071807463282745
18 6 51.559792027729635 51.681418979583505
18 7 54.1161178509532 53.97279259976837
18 8 55.15597920277296 54.94157741127425
18 9 55.54592720970537 55.320335434631765
18 10 57.32235701906413 57.332240849893715
19 1 24.393414211438476 22.648786589190294
19 2 34.22876949740035 32.63026464902615
19 3 39.948006932409015 38.616564846592894
19 4 45.97053726169844 45.34179335371828
19 5 48.396880415944544 48.06805488874393
19 6 50.0 49.753286217989775
19 7 52.296360485268636 52.19560077500155
19 8 53.16291161178509 53.09571423549067
19 9 54.41941074523397 54.42580137387966
19 10 56.36915077989602 56.27137178764876
20 1 24.263431542461007 22.92470724642891
20 2 34.878682842287695 33.988618130837494
20 3 40.81455805892548 40.15255121378101
20 4 48.00693240901213 48.078476447609376
20 5 49.26343154246101 49.37929465174874
20 6 50.736568457539 50.88626744027175
20 7 53.76949740034662 54.189531868428766
20 8 53.94280762564991 54.11948912000108
20 9 56.06585788561526 56.15558015544806
20 10 56.759098786828424 56.81667427249795
21 1 24.956672443674176 22.948146795002458
21 2 37.8682842287695 36.31076773336769
21 3 44.367417677642976 43.73326923692925
21 4 47.0103986135182 46.88425775105124
21 5 50.649913344887345 50.60498089601829
21 6 53.466204506065864 53.74171608217988
21 7 54.98266897746967 54.97680064421213
21 8 56.629116117850955 56.78132386974782
21 9 57.62564991334489 57.946405313955474
21 10 57.842287694974004 57.82840533823027
22 1 23.09358752166378 21.93217315948951
22 2 34.53206239168111 33.98780800989218
