# Shot Accuracy Error
1.000000 25.143350 0.252091
2.000000 35.464038 0.127534
3.000000 42.249133 0.115645
4.000000 46.788995 0.107319
5.000000 50.059359 0.088313
6.000000 52.533362 0.092320
7.000000 54.446274 0.086514
8.000000 56.008666 0.089509
9.000000 57.197140 0.083328
10.000000 58.320624 0.083448
