# Shot Accuracy Error
1.000000 14.972528 0.159237
2.000000 21.599653 0.097533
3.000000 26.089255 0.100020
4.000000 29.194107 0.098263
5.000000 31.567158 0.082441
6.000000 33.449307 0.098497
7.000000 34.995667 0.101158
8.000000 36.333622 0.090051
9.000000 37.458406 0.088140
10.000000 38.495234 0.076405
