# Shot Accuracy Error
1.000000 26.358237 0.265023
2.000000 36.996967 0.109712
3.000000 43.186742 0.117054
4.000000 47.287262 0.112786
5.000000 50.292461 0.110378
6.000000 52.447574 0.100694
7.000000 54.159012 0.091022
8.000000 55.531196 0.087991
9.000000 56.721404 0.086152
10.000000 57.689341 0.080490
