# Shot Accuracy Error
1.000000 24.466839 0.244414
2.000000 34.619584 0.126826
3.000000 41.186308 0.120664
4.000000 45.767331 0.107660
5.000000 49.055026 0.095103
6.000000 51.674177 0.097879
7.000000 53.668111 0.092431
8.000000 55.232669 0.087175
9.000000 56.495234 0.080298
10.000000 57.644714 0.079443
