# Shot Accuracy Error
1.000000 22.732021 0.229108
2.000000 32.509965 0.106410
3.000000 38.857019 0.099449
4.000000 43.114818 0.106223
5.000000 46.236135 0.102721
6.000000 48.642981 0.096951
7.000000 50.460572 0.094713
8.000000 52.008666 0.092548
9.000000 53.234835 0.086534
10.000000 54.267331 0.081053
