# Shot Accuracy Error
1.000000 12.109477 0.129274
2.000000 17.210572 0.089707
3.000000 20.720104 0.088083
4.000000 23.132149 0.081368
5.000000 24.975737 0.088859
6.000000 26.477903 0.082073
7.000000 27.665945 0.089999
8.000000 28.672877 0.082308
9.000000 29.523830 0.077889
10.000000 30.272097 0.078076
