# Shot Accuracy Error
1.000000 22.046502 0.224814
2.000000 31.443674 0.109820
3.000000 37.596620 0.100495
4.000000 41.656846 0.096680
5.000000 44.833622 0.106938
6.000000 47.242201 0.091390
7.000000 49.036828 0.097117
8.000000 50.520797 0.090814
9.000000 51.773830 0.088860
10.000000 52.688475 0.085765
