# Shot Accuracy Error
1.000000 26.652522 0.262078
2.000000 38.122617 0.118646
3.000000 44.413345 0.120731
4.000000 48.340555 0.100457
5.000000 50.974870 0.106262
6.000000 52.968804 0.100049
7.000000 54.457972 0.091834
8.000000 55.682409 0.088747
9.000000 56.547660 0.083498
10.000000 57.300260 0.083106
