Shot Accuracy Error
1.000000 14.879116 0.094873
2.000000 21.262565 0.099021
3.000000 25.731802 0.094511
4.000000 28.839688 0.094432
5.000000 31.200173 0.094005
6.000000 33.048960 0.086107
7.000000 34.674177 0.089333
8.000000 35.888648 0.088909
9.000000 37.164211 0.073113
10.000000 38.094887 0.074938
