Shot Accuracy Error
1.000000 24.695407 0.100073
2.000000 34.628683 0.121887
3.000000 41.296794 0.121706
4.000000 45.741768 0.102855
5.000000 48.991768 0.109388
6.000000 51.508666 0.095426
7.000000 53.395147 0.093873
8.000000 55.109185 0.098363
9.000000 56.328856 0.089641
10.000000 57.371317 0.081365
