Shot Accuracy Error
1.000000 27.876950 0.115708
2.000000 38.678076 0.139196
3.000000 45.061958 0.124182
4.000000 49.153380 0.120683
5.000000 52.069324 0.104799
6.000000 54.233102 0.103042
7.000000 55.881716 0.102035
8.000000 57.258666 0.092375
9.000000 58.406846 0.085410
10.000000 59.420711 0.090573
