0 1 2 3
0 1 11.611785095320624 10.859755582015092
0 2 15.944540727902945 15.682758245543567
0 3 21.273830155979205 21.205315504686954
0 4 24.263431542461007 24.533905524613914
0 5 26.689774696707108 26.62359850314585
0 6 28.119584055459274 27.865388247550726
0 7 30.589254766031193 30.175233654396074
0 8 31.715771230502597 31.427805612094932
0 9 32.2790294627383 32.176059345778235
0 10 32.45233968804159 31.971497550650334
1 1 12.348353552859619 11.307425426319066
1 2 17.24436741767764 17.04796945004984
1 3 21.447140381282495 21.51866996166391
1 4 23.743500866551127 24.120784774278
1 5 26.646447140381284 26.785130508852774
1 6 28.856152512998268 29.69291556662443
1 7 29.98266897746967 30.362744022012954
1 8 31.022530329289427 31.233442473595673
1 9 32.23570190641248 32.559717238198765
1 10 33.70883882149047 33.76155712071524
2 1 10.48526863084922 10.19592370722614
2 2 17.85095320623917 17.143084228584627
2 3 20.623916811091856 20.535234321896848
2 4 24.393414211438476 24.787091974235814
2 5 25.736568457538993 26.200940208486667
2 6 27.38301559792028 27.845765742046048
2 7 27.859618717504333 28.2533259275216
2 8 29.809358752166375 29.725568377648077
2 9 31.715771230502597 31.431886948387564
2 10 32.92894280762565 32.85445469953915
3 1 11.395147313691508 10.542892590074175
3 2 17.24436741767764 16.42780523037034
3 3 21.36048526863085 20.83058767489873
3 4 24.35008665511265 23.671117314061412
3 5 26.689774696707108 26.729420582374537
3 6 28.292894280762564 28.200288969992716
3 7 31.109185441941072 30.78812131353224
3 8 31.06585788561525 30.84298867385052
3 9 32.23570190641248 31.997945189893006
3 10 32.97227036395147 32.25494944257616
4 1 12.608318890814557 11.667285392498048
4 2 17.114384748700175 16.118123759751242
4 3 19.930675909878683 19.354431141694942
4 4 23.1369150779896 22.825188008283728
4 5 26.776429809358753 26.955419775935013
4 6 27.989601386481805 28.173962653683038
4 7 29.72270363951473 29.417680463342467
4 8 30.37261698440208 30.248817181973187
4 9 32.01906412478336 31.74838856219345
4 10 32.92894280762565 32.88438571524004
5 1 12.305025996533796 11.45374351717297
5 2 17.114384748700175 16.702553040674626
5 3 20.88388214904679 20.990685151000644
5 4 24.436741767764296 24.5470421033038
5 5 25.476603119584055 25.300900917487564
5 6 27.729636048526864 27.717579339339203
5 7 28.509532062391678 28.14348881022102
5 8 30.025996533795496 29.70300631048183
5 9 31.499133448873483 31.2543724275642
5 10 33.188908145580584 33.09246359675143
6 1 12.781629116117852 11.768731278029794
6 2 17.504332755632582 17.15110494808659
6 3 21.100519930675908 21.300290124456062
6 4 24.696707105719238 24.290514263210987
6 5 25.909878682842287 25.598946136349003
6 6 28.119584055459274 27.73307951703537
6 7 29.376083188908147 29.250874527018063
6 8 29.809358752166375 29.679102793237995
6 9 30.89254766031196 30.856538146272154
6 10 32.45233968804159 32.52734042765848
7 1 13.041594454072792 12.714563240333987
7 2 18.02426343154246 17.490348273127623
7 3 20.753899480069325 20.77248890130035
7 4 24.133448873483534 24.410148644125712
7 5 26.386481802426342 26.738508788697434
